PLACE	DATE	TIME	DURATION	CATEGORY	CTITLE	ETITLE	GRADE	REMARK	PAGE
宜蘭演藝廳	11/08	19:00	117	開幕片	親愛的奶奶	To My Dear Granny	普	★◎	40
國賓影城＠微風廣場 1 廳	11/09	19:00	114	開幕片	甜‧ 祕密	Together	護	★	41
國賓影城＠長春廣場 A 廳	11/09	14:00	87	影迷嘉年華 / 非洲心聲	無人歌頌的懺悔	The Repentant	輔		133
國賓影城＠長春廣場 A 廳	11/09	16:10	130	影迷嘉年華 / 名家饗宴	安娜.卡列尼娜	Anna Karenina	輔		111
國賓影城＠長春廣場 A 廳	11/09	19:00	146	次文化派對 / 經典影事	鬼店	The Shining	限		209
國賓影城＠長春廣場 A 廳	11/09	22:10	102	次文化派對 / 經典影事	鬼店之237 號房	Room 237	輔		208
新光影城 2 廳	11/09	19:00	79	次文化派對 / 動畫王國	找死專賣店	The Suicide Shop	護		217
新光影城 2 廳	11/09	21:10	127	影迷嘉年華 / 歐洲速寫	綁架海尼根	The Heineken Kidnapping	輔		147
新光影城 3 廳	11/09	19:30	110	焦點影人 / 荻上直子	吉貓出租	Rent-a-Cat	普		251
新光影城 3 廳	11/09	22:00	95	次文化派對 / 午夜禁地	厄夜茉莉	Lovely Molly	限		191
光點華山電影館1廳	11/09	16:20	120	次文化派對 / 音樂啟示錄	在浮城的角落唱首歌	On The Edge of A Floating City, We Sing	普		199
光點華山電影館1廳	11/09	19:00	90	華語電影世界 / 中國獨立映像	焚屍人	The Cremator	輔		95
光點華山電影館1廳	11/09	21:10	78	次文化派對 / 動畫王國	麥兜．噹噹伴我心	McDull．The Pork of Music	普		218
光點華山電影館 2 廳	11/09	19:00	90	華語電影世界 / 中國獨立映像	焚屍人	The Cremator	輔		95
宜蘭演藝廳	11/09	11:30	100	次文化派對 / 傳奇人生	如果在法國。一個旅人	Journal de France	普	▲	202
宜蘭演藝廳	11/09	13:40	106	焦點影人 / 荻上直子	樂活俱樂部	Glasses	普		253
