CTITLE	ETITLE	PAGE
我愛看美眉	18 Years Old and Raising	182
三月六日	6th March	79
七日哈瓦那	7 Days In Havana	166
命運談判局	A Hijacking	157
露西亞離開之後	After Lucia	170
亞歷山大大帝	Alexander The Great	236
妻人太甚	All About My Wife	122
愛．慕	Amour	100
當我們同住一起	And If We All Lived Together?	138
安朱鳥：發燒年代	Andrew Bird: Fever year	194
安娜.卡列尼娜	Anna Karenina	111
馬甲下的情與慾	Augustine	140
像個男人	Bad Seeds	186
戀戀大吉嶺	Barfi!	125
南方野獸樂園	Beasts of the Southern Wild	159
小夏天＋忐忑＋救命	"Before Summer Rain, Shadow of the Stiarcases, The Coward"	88
四分人＋狀況排除＋寂寞碼頭	"BeFore, A Breath from the Bottom, The Solitary Pier"	87
神探亨特張	Beijing Blues	52
英格麗褒曼vs. 安娜麥蘭妮	Bergman & Magnani: The War of Volcanoes	210
我們的幸福時光	Beyond the Walls	179
痞子英雄之全面開戰	Black & White: The Dawn of Assault	70
拼貼幸福	Broken	141
再一次初戀	Camille Rewinds	136
人質	Captive	224
寶米恰恰	Cha Cha for Twins	47
千錘百煉	China Heavyweight	77
三生情蛹	Chrysalis	150
我的雙面童年	Clandestine Childhood	171
五點到七點的克萊歐	Cleo From 5 To 7	207
愛上你愛上傳	Clip	185
"拉拉手,到白首"	Cloudburst	176
寶萊塢之戀夏雞尾酒	Cocktail	126
寒戰	Cold War	44
小金同志想要飛	Comrade Kim Goes Flying	121
三六年的歲月	Days of &#39;36	233
血光燦爛的日子	Days of Grace	172
三個傻瓜限屎專送	Delhi Belly	127
殺生	Design of Death	69
陣頭	Din Tao: Leader of the Parade	61
華麗之後	DIVA	67
鍵到鬼	Don&#39;t Click	192
有人讚美聰慧，有人則不	Don’t Expect Praises	94
熊熊遇見小小鼠	Ernest & Celestine	216
即使她們從未相見＋門縫前的包裹＋撿影	"Even They Never Met, The Gift, Framing of Life"	86
開膛少女的異想世界	Excision	183
電影社會主義	Film Socialism	101
告訴他們，我乘白鶴去了	Fly with the Crane	91
龍飛鳳舞	"Flying Dragon, Dancing Phoenix"	49
龍門飛甲	Flying Swords of Dragon Gate	64
親親愛倫	For Ellen	161
愛與誠	For Love&#39;s Sake	112
強強	Foster Child	228
我故鄉的四種死亡方式	Four Ways to Die in My Hometown	98
甘斯柏之親密自畫像	Gainsbourg by Gainsbourg: An Intimate Self-Portrait	203
風箏孩子王	Gattu	123
女朋友。男朋友	Gf * Bf	58
樂活俱樂部	Glasses	253
無罪可赦	Guilty	139
牽阮的手	Hand in Hand	75
浪漫暴走族	Hard Romanticker	118
花都魅影	Holy Motors	42
週末回家	Home For The Weekend	144
一千零一魘	Horror Stories	190
狂人大悶鍋	Hotel Lux	145
"愛,在他鄉"	In Another Country	114
在愛裡	In the Family	178
歃雪為盟	Into the White	154
搖滾不死：傑森貝克傳奇	Jason Becker : Not Dead Yet	201
如果在法國。一個旅人	Journal de France	202
義大利之旅	Journey to Italy	209
箭士柳白猿	Judge Archer	54
少年犯	Juvenile Offender	187
海鷗食堂	Kamome Diner	254
當我還不是我	Kaspar	220
落KEY人生	Key of Life	120
窺孔謎情	Keyhole	107
男孩看見血地獄	Kinatay	226
婊妹 Online	King Kelly	184
嫁禍	Kuma	146
堤	La jet?e	249
霧中風景	Landscape in the Mist	239
雙面勞倫斯	Laurence Anyways	174
阿拉伯的勞倫斯	Lawrence of Arabia	213
紅在革命蔓延時	Le Fond de L&#39;Air est Rouge	247
命運狗不理	Legend of The T-Dog	85
約翰藍儂：紐約城瞬間	LennoNYC	198
看不見的同志	Les Invisibles	177
奪命金	Life Without Principle	55
遠離越南	Loin du Vietnam	248
阿嬤打官司	Lola	225
純真消逝的年代	Lore	143
愛	LOVE	63
愛情摩天輪	Love is all you need	156
失戀33天	Love Is Not Blind	51
草食男之桃花期	Love Strikes!	117
厄夜茉莉	Lovely Molly	191
雷鬼教父巴布馬利	Marley	196
麥兜．噹噹伴我心	McDull．The Pork of Music	218
我和你	Me and You	105
麵包情人	Money and Honey	78
車手	Motorway	57
浮城謎事	Mystery	53
夜色降臨之前	Night Across the Street	103
大追捕	Nightfall	50
NO	NO	164
在浮城的角落唱首歌	"On The Edge of A Floating City, We Sing"	199
浪蕩世代	On the Road	106
八月三十一日，我在奧斯陸	"Oslo, August 31st"	153
如果愛是這樣	Our Children	135
畫皮II：轉生術	Painted Skin: The Resurrection	72
天堂：愛	Paradise : Love	142
贖罪	Penance	113
舐夢人	Post Tenebras Lux	109
巴黎海狗．冰島靈魂	Queen of Montreuil	137
重構	Reconstruction	232
吉貓出租	Rent-a-Cat	251
高海拔之戀II	Romancing in Thin Air	56
鬼店之237 號房	Room 237	208
日月無光	Sans Soleil	245
高潮滿座	Serbis	227
閉嘴聽音樂	Shut Up and Play The Hits	197
基努李維之數位任務	Side by Side	214
BBS鄉民的正義	Silent Code	68
醉生夢醒	Smashed	162
楊梅洲	Song of Silence	97
寂靜之音ECM	Sounds and Silence: Travel with Manfred Eicher	195
星空	Starry Starry Night	59
候鳥來的季節	Stilt	62
太極1 從零開始	Tai Chi 0	71
黛絲姑娘	Tess	212
囧男登大人	The Almost Man	155
天使威士忌	The Angels’ Share	104
養蜂人	The Beekeeper	238
消失的子彈	The Bullet Vanishes	66
不中用的我仰望天空	The Cowards Who Looked to the Sky	119
焚屍人	The Cremator	95
愛不宜遲	The Delay	168
我不在的時候	The Exchange	148
偉哉吾兔	The Great Rabbit	220
綁架海尼根	The Heineken Kidnapping	147
拾荒少年	The Home Gleaners	79
謊言的烙印	The Hunt	110
獵人	The Hunters	235
