PLACE	DATE	TIME	DURATION	CATEGORY	CTITLE	ETITLE	GRADE	REMARK	PAGE	LINK
新光1廳	2013/03/29	16:10	154	經典重現	黑色追緝令	Pulp Fiction	限制級		無	5029344846949bf4298e55c1
新光1廳	2013/03/29	19:30	107	開閉幕片	毒戰	Drug War	輔導級		無	512efdff20813fe04f57d06d
新光1廳	2013/03/29	22:10	100	跟著唱翻天	洛基恐怖秀	The Rocky Horror Picture Show	輔導級		無	5028fb0846949bf4298e54f0
新光2廳	2013/03/29	16:30	119	焦點導演：大衛林區	藍絲絨	Blue Velvet	限制級		無	502cfe2746949bf4298e5dda
新光2廳	2013/03/29	19:00	141	東瀛狂想	天地明察	Tenchi: The Samurai Astronomer	保護級		無	513a15c720813fe04f57f507
新光2廳	2013/03/29	21:50	119	寶萊塢：天王降臨	沙曼罕之爆裂警官 2	Dabangg 2	輔導級		無	513a0f3a20813fe04f57f4ef
新光1廳	2013/03/30	10:40	103	東瀛狂想	聽說桐島退社了	The Kirishima Thing	輔導級		無	513a157320813fe04f57f505
新光1廳	2013/03/30	13:00	137	東瀛狂想	賣夢二人組	Dreams for Sale	輔導級		無	503551478f7397b2c8b47f0d
新光1廳	2013/03/30	16:00	106	非一般愛情故事	桃樹男孩	The Peachtree	保護級	▲	無	513a13ac20813fe04f57f4fe
新光1廳	2013/03/30	18:20	118	當代奇幻	康提基號：偉大航程	Kon-Tiki	保護級	▲	無	50eeea2aec04c44061202a31
新光1廳	2013/03/30	20:50	175	寶萊塢：天王降臨	沙魯克罕之愛無敵	Jab Tak Hai Jaan	保護級		無	513a0ea120813fe04f57f4e1
新光2廳	2013/03/30	10:20	135	寶萊塢：天王降臨	阿米爾罕之大搜索	Talaash	輔導級		無	513a0eef20813fe04f57f4e7
新光2廳	2013/03/30	13:20	174	跟著唱翻天	真善美	The Sound of Music	普級		無	502cf48646949bf4298e5d1b
新光2廳	2013/03/30	16:50	94	經典重現	惡夜之吻	Near Dark	輔導級		無	512efde420813fe04f57d06b
新光2廳	2013/03/30	19:00	146	焦點導演：大衛林區	穆荷蘭大道	Mulholland Dr.	輔導級		無	5085a4d2228a881151d36a93
新光2廳	2013/03/30	22:00	269	經典重現	醫院風雲 I	The Kingdom I	限制級		無	502df35f46949bf4298e6093
新光2廳	2013/03/30	22:00	286	經典重現	醫院風雲 II	The Kingdom II	限制級		無	502df37946949bf4298e60ad
新光1廳	2013/03/31	10:40	108	當代奇幻	屍物招領	The Body	輔導級		無	513a0bfa20813fe04f57f4d8
新光1廳	2013/03/31	13:00	102	當代奇幻	你快樂，所以我不快樂	Sleep Tight	輔導級		無	513a0c4620813fe04f57f4da
新光1廳	2013/03/31	15:20	105	當代奇幻	亮演人生	Magnificent Presence	保護級	▲	無	5139d5aa20813fe04f57f357
新光1廳	2013/03/31	17:40	98	解放性樂園	我的性愛六堂課	My Awkward Sexual Adventure	限制級		無	513a10e820813fe04f57f4f3
新光1廳	2013/03/31	19:50	82	解放性樂園	大說謊家	A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman	限制級		無	512f022c20813fe04f57d079
新光1廳	2013/03/31	21:50	101	特別放映	感官世界	In the Realm of the Senses	限制級		無	5139d53220813fe04f57f355
新光2廳	2013/03/31	10:20	141	東瀛狂想	天地明察	Tenchi: The Samurai Astronomer	保護級		無	513a15c720813fe04f57f507
新光2廳	2013/03/31	13:20	126	跟著唱翻天	梁山伯與祝英台	The Love Eterne	普級		無	513a0dc720813fe04f57f4dd
新光2廳	2013/03/31	16:10	119	焦點導演：大衛林區	藍絲絨	Blue Velvet	限制級		無	502cfe2746949bf4298e5dda
新光2廳	2013/03/31	18:40	100	當代奇幻	作家想太多	A Fantastic Fear of Everything	輔導級		無	512f014920813fe04f57d072
新光2廳	2013/03/31	20:50	172	焦點導演：大衛林區	內陸帝國	Inland Empire	輔導級		無	513a135f20813fe04f57f4fc
新光1廳	2013/04/01	17:30	94	當代奇幻	神祕小狗失蹤事件	Wrong	輔導級		無	5139d5fd20813fe04f57f359
新光1廳	2013/04/01	19:40	96	特別放映	胭脂扣	Rouge	保護級		無	502cb3fc46949bf4298e594f
新光1廳	2013/04/01	21:50	82	SURPRISE FILM	Surprise Film	絕對猜不到之十大線索	限制級		無	
新光2廳	2013/04/01	17:10	82	非一般愛情故事	親你跟我這樣做	Hand in Hand	輔導級		無	513a103d20813fe04f57f4f2
