PLACE	DATE	TIME	DURATION	CATEGORY	CTITLE	ETITLE	GRADE	REMARK	PAGE
中山堂	2011/6/24	11:00	111	城市：倫敦 / 經典重現	假如...	If...	保P		54
中山堂	2011/6/24	13:30	102	觀摩 / 亞洲面面觀	愛情需要翻譯	Hi-So	普G	★	81
中山堂	2011/6/24	16:30	96	開幕片, 城市：倫敦 / 英倫潮流	吐司：敬美味人生	Toast	保P	★	26
中山堂	2011/6/24	20:00	130	開幕片, 競賽 / 台北電影獎	翻滾吧！阿信	Jump Ashin!	輔PG	★	26
中山堂	2011/6/25	10:30	278	觀摩 / 焦點導演：瀨瀨敬久	陌路。天堂	Heaven's Story	限R	★	77
中山堂	2011/6/25	16:30	95	競賽 / 國際青年導演競賽	愛，讓悲傷跨越	Beyond	普G		33
中山堂	2011/6/25	19:00	109	世界首映, 競賽 / 國際青年導演競賽, 競賽 / 台北電影獎	那些年，我們一起追的女孩	You Are the Apple of My Eye	輔PG	★	29
中山堂	2011/6/26	12:00	96	觀摩 / 午夜強心臟	完全自殺門診	Kill Me Please	限R		90
中山堂	2011/6/26	14:40	90	競賽 / 國際青年導演競賽	三場意外與一個預言	Familiar Grounds	普G	★	33
中山堂	2011/6/26	17:10	106	競賽 / 國際青年導演競賽, 觀摩 / 亞洲電影基金精選	海海三人生	Ordinary Days	輔PG	★	35
中山堂	2011/6/26	20:00	88	競賽 / 國際青年導演競賽	到阜陽六百里	Return Ticket	普G	★▲	35
中山堂	2011/6/27	12:30	90	城市：倫敦 / 經典重現 / 名導初體驗	情迷畫色	Love Is the Devil: Study for a Portrait of Francis Bacon	限R		59
中山堂	2011/6/27	14:40	75	競賽 / 國際青年導演競賽	即刻求生！	Live!	保P	★	34
中山堂	2011/6/27	17:00	93	競賽 / 國際青年導演競賽	頂樓左邊那棟房子	Top Floor Left Wing	限R	★	36
中山堂	2011/6/27	19:50	88	競賽 / 國際青年導演競賽	小麻雀的天空	Little Sparrows	保P	★	34
中山堂	2011/6/28	12:30	95	競賽 / 國際青年導演競賽	愛，讓悲傷跨越	Beyond	普G	★	33
中山堂	2011/6/28	15:10	95	競賽 / 國際青年導演競賽	沉睡的海岸	Erratum	輔PG		33
中山堂	2011/6/28	18:00	85	競賽 / 國際青年導演競賽	然後，有了光	Father	普G	★	34
中山堂	2011/6/28	20:30	90	競賽 / 國際青年導演競賽	衰尾男孩與盲眼女孩	Skyscraper	輔PG	★	36
中山堂	2011/6/29	12:00	87	競賽 / 國際青年導演競賽	她和他和他和他	Outbound	輔PG	★	35
中山堂	2011/6/29	14:30	90	競賽 / 國際青年導演競賽	三場意外與一個預言	Familiar Grounds	普G	★	33
中山堂	2011/6/29	17:00	97	競賽 / 台北電影獎 / 劇情長片	寶島漫波	Formosa Mambo	輔PG	★	41
中山堂	2011/6/29	19:40	90	世界首映, 競賽 / 台北電影獎	河豚	Blowfish	輔PG	★	29
中山堂	2011/6/30	10:30	94	觀摩 / 音樂 HIGH 翻天	樂來樂愛妳	Chico & Rita	保P		93
中山堂	2011/6/30	12:50	103	競賽 / 台北電影獎 / 劇情長片	熊熊愛上你	Bear It	保P	★	40
中山堂	2011/6/30	15:30	125	觀摩 / 焦點導演：瀨瀨敬久	犬狼星	Dog Star	保P	★	76
中山堂	2011/6/30	19:10	119	競賽 / 國際青年導演競賽 , 觀摩 / 城市物語	國際青年導演競賽頒獎典禮+戀愛從游泳開始	International New Talent Competition Award Ceremony+Jack Goes Boating	普G		73
中山堂	2011/7/1	10:00	113	城市：倫敦 / 英倫潮流	鐵娘 IN 工廠	Made in Dagenham	普G		65
中山堂	2011/7/1	12:30	95	競賽 / 國際青年導演競賽	沉睡的海岸	Erratum	輔PG	★	33
中山堂	2011/7/1	15:10	90	競賽 / 國際青年導演競賽	衰尾男孩與盲眼女孩	Skyscraper	輔PG	★	36
中山堂	2011/7/1	18:00	87	競賽 / 國際青年導演競賽	她和他和他和他	Outbound	輔PG	★	35
中山堂	2011/7/1	20:30	85	世界首映	皮克青春	Pick the Youth	普G	★	28
中山堂	2011/7/2	10:30	129	觀摩 / 亞洲面面觀	武士的家計簿	Abacus and Sword	普G		79
中山堂	2011/7/2	13:20	113	城市：倫敦 / 英倫潮流	鐵娘 IN 工廠	Made in Dagenham	普G		65
中山堂	2011/7/2	16:00	94	觀摩 / 音樂 HIGH 翻天	樂來樂愛妳	Chico & Rita	保P		93
中山堂	2011/7/2	18:20	93	競賽 / 國際青年導演競賽	頂樓左邊那棟房子	Top Floor Left Wing	限R		36
中山堂	2011/7/2	20:40	75	競賽 / 國際青年導演競賽	即刻求生！	Live!	保P		34
中山堂	2011/7/3	10:30	85	競賽 / 國際青年導演競賽	然後，有了光	Father	普G	▲	34
中山堂	2011/7/3	12:40	102	競賽 / 台北電影獎 / 劇情長片	消失打看	Honey Pupu	保P	★	39
中山堂	2011/7/3	15:30	80	觀摩 / 亞洲面面觀	談談情，拍拍片	Oki's Movie	普G		82
中山堂	2011/7/3	17:30	86	觀摩 / 午夜強心臟	完全自殺門診	Kill Me Please	限R		90
中山堂	2011/7/3	19:50	97	城市：倫敦 / 英倫潮流	初戀潛水艇	Submarine	輔PG		66
中山堂	2011/7/4	11:00	138	觀摩 / 亞洲面面觀	愛戀 3 茶花	Camellia	輔PG		80
中山堂	2011/7/4	14:00	106	競賽 / 國際青年導演競賽, 觀摩 / 亞洲電影基金精選	海海三人生	Ordinary Days	輔PG		35
中山堂	2011/7/4	16:40	108	觀摩 / 亞洲電影基金精選	偶然與你再遇	Re-encounter	普G		86
中山堂	2011/7/4	19:20	124	城市：倫敦 / 焦點導演：麥可鮑威爾	魔宮艷舞	The Tales of Hoffmann	普G		62
中山堂	2011/7/5	12:00	123	觀摩 / 亞洲面面觀	東京陌生街道	Strangers In the City	輔PG		83
中山堂	2011/7/5	15:00	134	觀摩 / 亞洲面面觀	跟著春天去旅行	Haru's Journey	普G		80
中山堂	2011/7/5	18:00	103	觀摩 / 城市物語	幸福的小雨傘	Potiche	普G		74
中山堂	2011/7/5	20:20	88	城市：倫敦 / 英倫潮流	搶錢搶妞暴走男	Perrier's Bounty	保P		66
中山堂	2011/7/6	12:30	105	城市：倫敦 / 經典重現	靈慾潮騷	Young Soul Rebels	限R		55
中山堂	2011/7/6	15:00	67	觀摩 / 城市物語	與電影談場戀愛	A Useful Life	普G		71
中山堂	2011/7/6	17:00	129	觀摩 / 亞洲面面觀	武士的家計簿	Abacus and Sword	普G		79
中山堂	2011/7/6	19:50	116	城市：倫敦 / 英倫潮流	壞壞好先生	Mr. Nice	限R		65
中山堂	2011/7/7	12:30	103	觀摩 / 城市物語	幸福的小雨傘	Potiche	普G		74
中山堂	2011/7/7	14:50	98	觀摩 / 城市物語	命運解剖師	Post Mortem	限R		74
中山堂	2011/7/7	17:10	105	城市：倫敦 / 經典重現 / 名導初體驗	神鬼艷后	The Awakening	普G		59
中山堂	2011/7/7	19:40	115	城市：倫敦 / 英倫潮流, 觀摩 / 音樂 HIGH 翻天	搖滾藥不藥	Sex & Drugs & Rock & Roll	限R		66
中山堂	2011/7/8	12:30	80	觀摩 / 亞洲面面觀	談談情，拍拍片	Oki's Movie	普G		82
中山堂	2011/7/8	14:30	128	城市：倫敦 / 經典重現	親愛的	Darling	輔PG		54
中山堂	2011/7/8	18:00	0	神秘場, 保留場	保留場 (*請自行預留時間)	(Preserved)			
中山堂	2011/7/8	20:40	90	觀摩 / 城市物語	透過妳的雙眼	Gangor	保P	★	73
中山堂	2011/7/9	10:30	70	觀摩 / 城市物語	畫出你自己	Draw Yourself	普G	★▲	72
中山堂	2011/7/9	12:40	113	觀摩 / 亞洲面面觀	晚秋	Late Autumn	普G	★	81
中山堂	2011/7/9	15:40	116	觀摩 / 城市物語	精銳部隊 2	Elite Squad 2: The Enemy Within	輔PG		72
中山堂	2011/7/9	18:20	125	觀摩 / 音樂 HIGH 翻天	音為愛	SuckSeed	普G	★▲	94
中山堂	2011/7/10	11:00	116	城市：倫敦 / 英倫潮流	壞壞好先生	Mr. Nice	限R		65
中山堂	2011/7/10	13:40	102	觀摩 / 音樂 HIGH 翻天	π情歌	Lullaby for Pi	普G	★	93
中山堂	2011/7/10	17:00	88	觀摩 / 午夜強心臟	殺恁老屍！	Evil - In the Time of Heroes	輔PG		89
中山堂	2011/7/10	19:10	113	觀摩 / 亞洲面面觀	晚秋	Late Autumn	普G	★	81
中山堂	2011/7/11	13:00	102	觀摩 / 音樂 HIGH 翻天	π情歌	Lullaby for Pi	普G	★	93
中山堂	2011/7/11	16:00	90	觀摩 / 城市物語	透過妳的雙眼	Gangor	保P	★	73
中山堂	2011/7/11	19:00	107	觀摩 / 城市物語	好娘我最大	Copacabana	保P	▲	71
中山堂	2011/7/12	12:30	105	城市：倫敦 / 經典重現 / 名導初體驗	神鬼艷后	The Awakening	普G		59
中山堂	2011/7/12	15:00	115	城市：倫敦 / 英倫潮流, 觀摩 / 音樂 HIGH 翻天	搖滾藥不藥	Sex & Drugs & Rock & Roll	限R		66
中山堂	2011/7/12	18:00	90	城市：倫敦 / 經典重現 / 名導初體驗	情迷畫色	Love Is the Devil: Study for a Portrait of Francis Bacon	限R		59
中山堂	2011/7/13	11:00	125	觀摩 / 焦點導演：瀨瀨敬久	犬狼星	Dog Star	保P		76
中山堂	2011/7/13	14:00	278	觀摩 / 焦點導演：瀨瀨敬久	陌路。天堂	Heaven's Story	限R		77
中山堂	2011/7/13	19:50	77	觀摩 / 焦點導演：瀨瀨敬久	東京性愛死	Tokyo X Erotica	限R		76
中山堂	2011/7/14	10:00	107	觀摩 / 城市物語	好娘我最大	Copacabana	保P	▲	71
中山堂	2011/7/14	12:30	88	城市：倫敦 / 英倫潮流	搶錢搶妞暴走男	Perrier's Bounty	保P		66
中山堂	2011/7/14	14:40	111	城市：倫敦 / 經典重現	假如...	If...	保P		54
中山堂	2011/7/14	17:10	124	觀摩 / 城市物語	毒利時代	Easy Money	輔PG		72
